system_id,partition
2,train
3,train
4,train
5,validation
6,train
8,train
9,train
10,train
11,train
12,train
13,train
18,train
20,train
28,test
29,train
30,train
31,train
32,train
33,train
34,train
35,train
36,validation
37,train
38,train
39,train
40,train
41,train
42,train
43,train
44,train
45,train
46,train
47,validation
48,validation
49,train
50,test
51,train
52,train
53,train
54,test
55,test
56,train
57,train
58,train
59,train
60,train
61,train
62,train
63,train
64,validation
65,train
66,train
67,train
68,train
69,test
70,train
71,train
72,train
73,train
75,train
76,train
77,train
78,train
79,validation
80,train
81,train
82,train
83,train
84,train
85,train
86,train
87,train
88,train
89,train
90,test
91,train
92,train
93,train
94,train
95,train
96,train
97,test
98,train
99,train
100,train
101,test
102,test
103,train
104,train
105,train
106,train
107,train
108,train
109,train
110,train
111,train
116,train
117,train
118,train
119,train
121,validation
122,train
123,train
124,train
125,train
126,train
127,validation
128,train
129,train
130,train
131,train
132,validation
133,train
134,test
135,train
136,train
137,train
138,train
139,train
140,train
141,train
142,validation
143,train
144,train
145,train
146,train
147,test
148,validation
149,validation
150,train
151,train
152,train
153,validation
154,train
155,validation
156,train
157,train
158,train
159,validation
160,test
161,test
162,train
163,train
164,train
165,train
166,test
169,train
170,validation
171,validation
172,test
173,train
174,train
175,train
176,test
177,train
178,train
179,train
180,test
181,test
182,train
183,train
184,train
185,train
186,train
187,train
188,train
189,train
190,train
191,train
192,train
193,train
194,train
196,test
197,train
198,train
204,train
205,train
206,train
207,train
208,train
209,test
210,train
211,train
212,train
213,train
214,validation
215,train
216,train
217,train
218,train
219,validation
220,train
221,train
222,train
223,train
224,train
225,train
226,train
227,validation
228,train
229,train
230,train
231,train
232,train
233,train
234,test
235,validation
236,train
237,train
238,validation
239,train
240,train
241,train
242,train
243,train
244,train
245,train
246,train
248,train
251,train
252,train
253,train
254,train
255,train
256,train
257,test
258,train
259,train
264,test
269,train
270,train
271,test
272,train
273,train
274,train
275,test
276,train
277,train
278,train
279,validation
280,train
281,test
282,train
283,train
284,train
285,train
286,train
287,test
288,train
289,train
290,train
291,validation
292,train
293,train
294,train
301,test
302,train
303,train
304,validation
305,train
306,validation
307,train
308,train
309,train
310,train
311,train
312,train
313,train
317,train
318,train
319,train
320,train
321,train
322,train
323,train
324,train
325,train
326,validation
327,validation
328,train
329,train
330,test
331,train
332,train
333,train
334,train
335,train
336,train
337,train
338,train
339,train
340,train
341,train
342,test
343,validation
344,train
345,train
346,train
347,test
348,train
349,train
350,train
351,validation
352,train
353,train
354,train
355,train
356,train
357,test
358,train
359,train
360,train
361,train
362,train
363,validation
364,train
365,train
366,train
367,train
368,train
369,test
370,test
371,train
372,test
373,train
374,train
375,train
376,train
378,train
379,validation
380,train
381,train
382,train
383,test
384,train
385,train
386,train
387,train
388,train
389,train
390,train
391,train
392,train
393,train
394,train
395,train
396,train
397,train
398,train
399,train
400,train
401,train
402,validation
403,train
404,train
405,test
406,test
407,test
408,train
409,train
410,train
411,train
412,train
413,train
416,train
417,train
418,train
419,train
420,train
421,train
422,train
423,train
424,train
425,train
426,train
427,test
428,train
429,train
430,train
431,train
432,train
433,test
434,train
435,train
436,train
437,train
438,train
439,train
440,train
441,validation
442,train
443,train
444,test
445,train
446,train
447,train
448,train
449,test
450,train
451,train
452,test
453,validation
454,train
455,train
456,train
457,train
458,train
459,train
460,train
461,test
462,validation
463,train
464,train
465,train
466,train
467,train
468,validation
469,train
471,train
472,test
473,train
474,train
475,train
476,train
477,test
478,train
479,train
480,train
481,train
482,train
483,train
484,train
485,train
486,train
487,train
488,train
489,train
490,test
491,test
492,test
493,validation
494,test
495,train
496,train
497,train
498,train
499,train
500,train
501,train
502,train
503,train
504,validation
505,train
506,train
507,train
508,validation
509,train
510,validation
511,train
512,train
513,train
514,train
515,validation
516,train
517,test
518,train
519,train
520,validation
521,train
522,train
523,train
524,train
525,train
526,train
527,train
528,train
529,train
530,train
531,train
532,train
533,train
534,train
535,train
536,train
537,train
538,train
539,train
540,train
541,train
542,train
543,train
544,train
545,train
546,test
547,train
548,train
549,train
550,train
559,train
560,validation
561,train
562,validation
563,train
564,train
565,train
567,train
568,train
570,validation
571,train
572,train
573,validation
574,test
575,train
576,validation
577,train
578,train
579,train
580,train
581,train
583,test
584,train
585,validation
586,train
587,test
588,train
589,train
590,train
591,train
592,train
593,validation
594,validation
595,train
596,train
597,train
598,train
599,train
600,train
601,train
602,validation
603,test
604,train
605,train
606,validation
607,train
608,train
609,validation
610,train
611,train
612,train
613,train
614,train
615,test
616,train
617,train
618,train
619,train
620,train
621,train
622,train
623,train
624,train
625,train
626,train
627,train
628,train
629,train
630,train
631,train
632,test
633,train
634,validation
635,train
636,train
637,train
638,train
639,train
640,train
641,train
642,train
643,train
644,train
645,validation
646,train
647,test
648,train
649,train
650,train
651,train
652,test
653,train
654,validation
655,train
656,train
657,train
658,validation
659,train
660,train
661,train
662,train
663,train
664,train
665,train
666,train
667,train
668,train
669,test
670,train
671,train
672,train
673,validation
674,validation
675,train
676,train
677,train
678,train
679,train
680,train
681,test
682,train
683,validation
684,train
685,test
686,test
687,train
688,train
689,train
690,train
691,validation
692,train
693,train
694,train
695,train
696,train
697,train
698,train
699,test
700,train
701,train
702,train
703,train
704,train
705,train
706,test
707,validation
708,train
709,train
712,train
713,train
715,train
716,train
717,test
718,train
720,train
722,train
723,validation
725,train
727,train
728,train
729,train
730,train
731,validation
732,train
733,train
734,validation
735,train
736,train
766,validation
770,train
771,train
772,test
773,train
774,train
775,train
776,train
777,train
778,validation
779,train
780,train
784,train
785,train
788,train
789,train
790,train
791,train
792,train
793,test
794,test
795,train
799,test
800,train
801,train
802,train
803,train
804,train
805,train
806,train
808,train
809,train
810,train
811,train
812,train
813,validation
814,train
815,validation
816,train
817,train
818,train
819,train
820,train
821,validation
823,train
824,train
825,train
826,train
827,validation
828,train
829,train
830,train
831,train
