dataset_id,dataset_name,stage,component_role,family,count,fraction,family_column
Curated IL-LLE,Curated ionic-liquid LLE workbook,raw_workbook,component2,aromatic,3967,0.47554543274994004,Family of component 2
Curated IL-LLE,Curated ionic-liquid LLE workbook,raw_workbook,component2,alcohol,1841,0.22069048189882523,Family of component 2
Curated IL-LLE,Curated ionic-liquid LLE workbook,raw_workbook,component2,S-compound,1152,0.13809637976504435,Family of component 2
Curated IL-LLE,Curated ionic-liquid LLE workbook,raw_workbook,component2,alkene,501,0.06005754015823544,Family of component 2
Curated IL-LLE,Curated ionic-liquid LLE workbook,raw_workbook,component2,N-compound,319,0.038240230160632945,Family of component 2
Curated IL-LLE,Curated ionic-liquid LLE workbook,raw_workbook,component2,cycloalkane,156,0.018700551426516422,Family of component 2
Curated IL-LLE,Curated ionic-liquid LLE workbook,raw_workbook,component2,ester,143,0.017142172140973386,Family of component 2
Curated IL-LLE,Curated ionic-liquid LLE workbook,raw_workbook,component2,water,112,0.013426036921601535,Family of component 2
Curated IL-LLE,Curated ionic-liquid LLE workbook,raw_workbook,component2,acid,82,0.009829777031886838,Family of component 2
Curated IL-LLE,Curated ionic-liquid LLE workbook,raw_workbook,component2,ketone,43,0.005154639175257732,Family of component 2
Curated IL-LLE,Curated ionic-liquid LLE workbook,raw_workbook,component2,alkane,26,0.0031167585710860706,Family of component 2
Curated IL-LLE,Curated ionic-liquid LLE workbook,raw_workbook,component3,alkane,5568,0.6674658355310477,Family of component 3
Curated IL-LLE,Curated ionic-liquid LLE workbook,raw_workbook,component3,cycloalkane,1014,0.12155358427235675,Family of component 3
Curated IL-LLE,Curated ionic-liquid LLE workbook,raw_workbook,component3,water,1014,0.12155358427235675,Family of component 3
Curated IL-LLE,Curated ionic-liquid LLE workbook,raw_workbook,component3,aromatic,281,0.033684967633660995,Family of component 3
Curated IL-LLE,Curated ionic-liquid LLE workbook,raw_workbook,component3,ether,226,0.027091824502517382,Family of component 3
Curated IL-LLE,Curated ionic-liquid LLE workbook,raw_workbook,component3,alkene,116,0.01390553824023016,Family of component 3
Curated IL-LLE,Curated ionic-liquid LLE workbook,raw_workbook,component3,ester,94,0.011268280987772716,Family of component 3
Curated IL-LLE,Curated ionic-liquid LLE workbook,raw_workbook,component3,ketone,29,0.00347638456005754,Family of component 3
Curated IL-LLE,Curated ionic-liquid LLE workbook,filtered_min6_no_aug,component2,aromatic,3798,0.4943381491604842,Family of component 2
Curated IL-LLE,Curated ionic-liquid LLE workbook,filtered_min6_no_aug,component2,alcohol,1645,0.21410907197709228,Family of component 2
Curated IL-LLE,Curated ionic-liquid LLE workbook,filtered_min6_no_aug,component2,S-compound,918,0.11948457633736821,Family of component 2
Curated IL-LLE,Curated ionic-liquid LLE workbook,filtered_min6_no_aug,component2,alkene,501,0.06520890277235455,Family of component 2
Curated IL-LLE,Curated ionic-liquid LLE workbook,filtered_min6_no_aug,component2,N-compound,294,0.03826630222569309,Family of component 2
Curated IL-LLE,Curated ionic-liquid LLE workbook,filtered_min6_no_aug,component2,cycloalkane,156,0.02030456852791878,Family of component 2
Curated IL-LLE,Curated ionic-liquid LLE workbook,filtered_min6_no_aug,component2,ester,113,0.014707796433684759,Family of component 2
Curated IL-LLE,Curated ionic-liquid LLE workbook,filtered_min6_no_aug,component2,water,112,0.014577638943121177,Family of component 2
Curated IL-LLE,Curated ionic-liquid LLE workbook,filtered_min6_no_aug,component2,acid,77,0.010022126773395808,Family of component 2
Curated IL-LLE,Curated ionic-liquid LLE workbook,filtered_min6_no_aug,component2,ketone,43,0.005596772094234023,Family of component 2
Curated IL-LLE,Curated ionic-liquid LLE workbook,filtered_min6_no_aug,component2,alkane,26,0.00338409475465313,Family of component 2
Curated IL-LLE,Curated ionic-liquid LLE workbook,filtered_min6_no_aug,component3,alkane,4986,0.6489652479500195,Family of component 3
Curated IL-LLE,Curated ionic-liquid LLE workbook,filtered_min6_no_aug,component3,water,994,0.12937654562020046,Family of component 3
Curated IL-LLE,Curated ionic-liquid LLE workbook,filtered_min6_no_aug,component3,cycloalkane,985,0.1282051282051282,Family of component 3
Curated IL-LLE,Curated ionic-liquid LLE workbook,filtered_min6_no_aug,component3,aromatic,262,0.034101262527658466,Family of component 3
Curated IL-LLE,Curated ionic-liquid LLE workbook,filtered_min6_no_aug,component3,ether,221,0.028764805414551606,Family of component 3
Curated IL-LLE,Curated ionic-liquid LLE workbook,filtered_min6_no_aug,component3,alkene,116,0.015098268905375503,Family of component 3
Curated IL-LLE,Curated ionic-liquid LLE workbook,filtered_min6_no_aug,component3,ester,90,0.011714174150722375,Family of component 3
Curated IL-LLE,Curated ionic-liquid LLE workbook,filtered_min6_no_aug,component3,ketone,29,0.003774567226343876,Family of component 3
