name,importance
FG_24:C=CC,0.000822877824968297
FG_4:CF,0.0004967459023343205
FG_5:CS(=O)(=O)[N-]S(C)(=O)=O,0.0004909946459292769
FG_6:cC,0.00041519278883583866
FG_9:c1ccccc1,0.0002826957816542593
FG_1:C[n+],0.00016882254194191168
FG_3:c1c[n+]cn1,0.00016816207305699513
FG_2:Cn,0.00015860875362250226
FG_0:CC,6.625137433502459e-05
FG_7:c1cc[n+]cc1,0.0
FG_8:C[N+]C,0.0
FG_10:CO,0.0
FG_11:N#CN=C=[N-],0.0
FG_12:COC,0.0
FG_13:C[N+](C)(C)C,0.0
FG_14:F[B-](F)(F)F,0.0
FG_15:CS(=O)(=O)[O-],0.0
FG_16:C1CC[N+]C1,0.0
FG_17:N#C[S-],0.0
FG_18:C1COCC[N+]1,0.0
FG_19:C1CC[N+]CC1,0.0
FG_20:COS(=O)(=O)[O-],0.0
FG_21:COC(C)=O,0.0
FG_22:N#C[B-](C#N)(C#N)C#N,0.0
FG_23:COP(=O)([O-])OC,0.0
FG_25:CC(=O)[O-],0.0
FG_26:O=[N+]([O-])[O-],0.0
FG_27:F[P-](F)(F)(F)(F)F,0.0
FG_28:N#CC(=C=[N-])C#N,0.0
FG_29:C[P+](C)(C)C,0.0
FG_30:O=S(=O)([O-])O,0.0
FG_31:c1c[nH+]cn1,0.0
FG_32,0.0
FG_33,0.0
FG_34,0.0
FG_35,0.0
FG_36,0.0
FG_37,0.0
FG_38,0.0
FG_39,0.0
FG_40,0.0
FG_41,0.0
FG_42,0.0
FG_43,0.0
FG_44,0.0
FG_45,0.0
FG_46,0.0
FG_47,0.0
FG_48,0.0
FG_49,0.0
FG_50,0.0
FG_51,0.0
FG_52,0.0
FG_53,0.0
FG_54,0.0
FG_55,0.0
FG_56,0.0
FG_57,0.0
FG_58,0.0
FG_59,0.0
FG_60,0.0
FG_61,0.0
FG_62,0.0
FG_63,0.0
FG_64,0.0
FG_65,0.0
FG_66,0.0
FG_67,0.0
FG_68,0.0
FG_69,0.0
FG_70,0.0
FG_71,0.0
FG_72,0.0
FG_73,0.0
FG_74,0.0
FG_75,0.0
FG_76,0.0
FG_77,0.0
FG_78,0.0
FG_79,0.0
FG_80,0.0
FG_81,0.0
FG_82,0.0
FG_83,0.0
FG_84,0.0
FG_85,0.0
FG_86,0.0
FG_87,0.0
FG_88,0.0
FG_89,0.0
FG_90,0.0
FG_91,0.0
FG_92,0.0
FG_93,0.0
FG_94,0.0
FG_95,0.0
FG_96,0.0
FG_97,0.0
FG_98,0.0
FG_99,0.0
FG_100,0.0
FG_101,0.0
FG_102,0.0
FG_103,0.0
FG_104,0.0
FG_105,0.0
FG_106,0.0
FG_107,0.0
FG_108,0.0
FG_109,0.0
FG_110,0.0
FG_111,0.0
FG_112,0.0
FG_113,0.0
FG_114,0.0
FG_115,0.0
FG_116,0.0
FG_117,0.0
FG_118,0.0
FG_119,0.0
FG_120,0.0
FG_121,0.0
FG_122,0.0
FG_123,0.0
FG_124,0.0
FG_125,0.0
FG_126,0.0
FG_127,0.0
FG_128,0.0
FG_129,0.0
FG_130,0.0
FG_131,0.0
FG_132,0.0
FG_133,0.0
FG_134,0.0
FG_135,0.0
FG_136,0.0
FG_137,0.0
FG_138,0.0
FG_139,0.0
FG_140,0.0
FG_141,0.0
FG_142,0.0
FG_143,0.0
FG_144,0.0
FG_145,0.0
FG_146,0.0
FG_147,0.0
FG_148,0.0
FG_149,0.0
FG_150,0.0
FG_151,0.0
FG_152,0.0
FG_153,0.0
FG_154,0.0
FG_155,0.0
FG_156,0.0
FG_157,0.0
FG_158,0.0
FG_159,0.0
FG_160,0.0
FG_161,0.0
FG_162,0.0
FG_163,0.0
FG_164,0.0
FG_165,0.0
FG_166,0.0
FG_167,0.0
FG_168,0.0
FG_169,0.0
FG_170,0.0
FG_171,0.0
FG_172,0.0
FG_173,0.0
FG_174,0.0
FG_175,0.0
FG_176,0.0
FG_177,0.0
FG_178,0.0
FG_179,0.0
FG_180,0.0
FG_181,0.0
FG_182,0.0
FG_183,0.0
FG_184,0.0
FG_185,0.0
FG_186,0.0
FG_187,0.0
FG_188,0.0
FG_189,0.0
FG_190,0.0
FG_191,0.0
FG_192,0.0
FG_193,0.0
FG_194,0.0
FG_195,0.0
FG_196,0.0
FG_197,0.0
FG_198,0.0
FG_199,0.0
FG_200,0.0
FG_201,0.0
FG_202,0.0
FG_203,0.0
FG_204,0.0
FG_205,0.0
FG_206,0.0
FG_207,0.0
FG_208,0.0
FG_209,0.0
FG_210,0.0
FG_211,0.0
FG_212,0.0
FG_213,0.0
FG_214,0.0
FG_215,0.0
FG_216,0.0
FG_217,0.0
FG_218,0.0
FG_219,0.0
FG_220,0.0
FG_221,0.0
FG_222,0.0
FG_223,0.0
FG_224,0.0
FG_225,0.0
FG_226,0.0
FG_227,0.0
FG_228,0.0
FG_229,0.0
FG_230,0.0
FG_231,0.0
FG_232,0.0
FG_233,0.0
FG_234,0.0
FG_235,0.0
FG_236,0.0
FG_237,0.0
FG_238,0.0
FG_239,0.0
FG_240,0.0
FG_241,0.0
FG_242,0.0
FG_243,0.0
FG_244,0.0
FG_245,0.0
FG_246,0.0
FG_247,0.0
FG_248,0.0
FG_249,0.0
FG_250,0.0
FG_251,0.0
FG_252,0.0
FG_253,0.0
FG_254,0.0
FG_255,0.0
FG_256,0.0
FG_257,0.0
FG_258,0.0
FG_259,0.0
FG_260,0.0
FG_261,0.0
FG_262,0.0
FG_263,0.0
FG_264,0.0
FG_265,0.0
FG_266,0.0
FG_267,0.0
FG_268,0.0
FG_269,0.0
FG_270,0.0
FG_271,0.0
FG_272,0.0
FG_273,0.0
FG_274,0.0
FG_275,0.0
FG_276,0.0
FG_277,0.0
FG_278,0.0
FG_279,0.0
FG_280,0.0
FG_281,0.0
FG_282,0.0
FG_283,0.0
FG_284,0.0
FG_285,0.0
FG_286,0.0
FG_287,0.0
FG_288,0.0
FG_289,0.0
FG_290,0.0
FG_291,0.0
FG_292,0.0
FG_293,0.0
FG_294,0.0
FG_295,0.0
FG_296,0.0
FG_297,0.0
FG_298,0.0
FG_299,0.0
FG_300,0.0
FG_301,0.0
FG_302,0.0
FG_303,0.0
FG_304,0.0
FG_305,0.0
FG_306,0.0
FG_307,0.0
FG_308,0.0
FG_309,0.0
FG_310,0.0
FG_311,0.0
FG_312,0.0
FG_313,0.0
FG_314,0.0
FG_315,0.0
FG_316,0.0
FG_317,0.0
FG_318,0.0
FG_319,0.0
FG_320,0.0
FG_321,0.0
FG_322,0.0
FG_323,0.0
FG_324,0.0
FG_325,0.0
FG_326,0.0
FG_327,0.0
FG_328,0.0
FG_329,0.0
FG_330,0.0
FG_331,0.0
FG_332,0.0
FG_333,0.0
FG_334,0.0
FG_335,0.0
FG_336,0.0
FG_337,0.0
FG_338,0.0
FG_339,0.0
FG_340,0.0
FG_341,0.0
FG_342,0.0
FG_343,0.0
FG_344,0.0
FG_345,0.0
FG_346,0.0
FG_347,0.0
FG_348,0.0
FG_349,0.0
FG_350,0.0
FG_351,0.0
FG_352,0.0
FG_353,0.0
FG_354,0.0
FG_355,0.0
FG_356,0.0
FG_357,0.0
FG_358,0.0
FG_359,0.0
FG_360,0.0
FG_361,0.0
FG_362,0.0
FG_363,0.0
FG_364,0.0
FG_365,0.0
FG_366,0.0
FG_367,0.0
FG_368,0.0
FG_369,0.0
FG_370,0.0
FG_371,0.0
FG_372,0.0
FG_373,0.0
FG_374,0.0
FG_375,0.0
FG_376,0.0
FG_377,0.0
FG_378,0.0
FG_379,0.0
FG_380,0.0
FG_381,0.0
FG_382,0.0
FG_383,0.0
FG_384,0.0
FG_385,0.0
FG_386,0.0
FG_387,0.0
FG_388,0.0
FG_389,0.0
FG_390,0.0
FG_391,0.0
FG_392,0.0
FG_393,0.0
FG_394,0.0
FG_395,0.0
FG_396,0.0
FG_397,0.0
FG_398,0.0
FG_399,0.0
FG_400,0.0
FG_401,0.0
FG_402,0.0
FG_403,0.0
FG_404,0.0
FG_405,0.0
FG_406,0.0
